time                   ,dt                   ,Center (x-axis) ,Center (y-axis) ,box width ,box height ,center_y_corrected ,mean_y
   6.5763964001089334  ,0.0614764            ,      384.7901  ,      347.6009  ,45.525055 , 45.56137  ,-17.0235686        ,   
   6.6407494           ,0.064353             ,      385.27466 ,      349.22406 ,45.583008 , 45.214203 ,-18.6467286        ,   
   6.702312299981713   ,0.061562899965792894 ,      385.60626 ,      346.51245 ,45.31479  , 44.54544  ,-15.9351186        ,   
   6.765999800059944   ,0.0636875            ,      385.73672 ,      340.30347 ,45.128418 , 44.728546 ,-9.7261386         ,   
   6.826625500107184   ,0.0606257            ,      385.6178  ,      331.73575 ,45.831787 , 44.10547  ,-1.1584186         ,   
   6.876468300120905   ,0.0498428            ,      385.4402  ,      323.20593 ,45.37323  , 44.25345  ,7.3714014          ,   
   6.938924999907613   ,0.0624567            ,      384.96747 ,      316.6708  ,45.42685  , 44.634033 ,13.9065314         ,   
   7.002003300003707   ,0.0630783            ,      384.7744  ,      313.15613 ,45.309875 , 44.920715 ,17.4212014         ,   
   7.065260699950159   ,0.0632574            ,      384.49088 ,      314.08923 ,45.204834 , 45.02069  ,16.4881014         ,   
   7.129798700101674   ,0.064538             ,      384.25165 ,      319.2887  ,45.06967  , 45.591003 ,11.2886314         ,   
   7.190982799977064   ,0.0611841            ,      383.9673  ,      327.06158 ,45.102356 , 45.976715 ,3.5157514          ,   
   7.255400900030509   ,0.0644181            ,      383.36237 ,      335.9135  ,45.1481   , 45.48581  ,-5.3361686         ,   
   7.318754799896851   ,0.0633539            ,      382.9939  ,      343.22522 ,45.57538  , 45.371826 ,-12.6478886        ,   
   7.382093500113115   ,0.0633387            ,      382.6496  ,      348.2834  ,45.349457 , 45.13217  ,-17.7060686        ,   
   7.443877199897543   ,0.0617837            ,      382.13165 ,      348.65533 ,45.328278 , 44.798187 ,-18.0779986        ,   
   7.505075799999759   ,0.061198600102216005 ,      381.531   ,      344.73798 ,45.433777 , 44.339508 ,-14.1606486        ,   
   7.570858            ,0.0657822            ,      381.25272 ,      338.1753  ,45.283936 , 44.445618 ,-7.5979686         ,   
